"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"15","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","5","42","Found 'DU'-anomaly for variable 'result' (lines '42'-'57').","Controversial Rules","DataflowAnomalyAnalysis"
"16","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","3","43","Local variable '_operation' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"17","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","2","44","System.out.print is used","Java Logging Rules","SystemPrintln"
"18","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","3","45","Position literals first in String comparisons","Design Rules","PositionLiteralsFirstInComparisons"
"19","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","3","48","Position literals first in String comparisons","Design Rules","PositionLiteralsFirstInComparisons"
"20","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","3","51","Position literals first in String comparisons","Design Rules","PositionLiteralsFirstInComparisons"
"21","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","3","65","Parameter 'req' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"22","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","3","67","Local variable 'mongoDAO' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"23","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","2","68","System.out.print is used","Java Logging Rules","SystemPrintln"
"24","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","3","70","Local variable 'data' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"25","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","2","71","System.out.print is used","Java Logging Rules","SystemPrintln"
"26","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","3","92","Avoid variables with short names like id","Naming Rules","ShortVariable"
"27","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","3","93","The String literal 'patientId' appears 4 times in this file; the first occurrence is on line 93","String and StringBuffer Rules","AvoidDuplicateLiterals"
"28","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","3","94","Avoid excessively long variable names like collectionNameForTrialAndSite","Naming Rules","LongVariable"
"29","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","3","122","Avoid variables with short names like id","Naming Rules","ShortVariable"
"30","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","3","124","Avoid excessively long variable names like collectionNameForTrialAndSite","Naming Rules","LongVariable"
"31","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","3","130","Avoid excessively long variable names like patientCollectionName","Naming Rules","LongVariable"
"32","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","3","160","Avoid excessively long variable names like colNameForTrialAndSite","Naming Rules","LongVariable"
"33","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","3","173","Consider simply returning the value vs storing it in local variable 'colNameForPatient'","Design Rules","UnnecessaryLocalBeforeReturn"
"34","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/PatientListServlet.java","3","23","Parameter 'req' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"35","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/PatientListServlet.java","3","23","Parameter 'res' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"36","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/PatientListServlet.java","3","26","Local variable 'out' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"37","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/PatientListServlet.java","3","27","Local variable 'session' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"38","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/PatientListServlet.java","3","29","Local variable 'mongoDAO' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"39","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/PatientListServlet.java","3","32","Local variable 'repository' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"40","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/PatientListServlet.java","3","34","Local variable 'trialId' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"41","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/PatientListServlet.java","3","52","Parameter 'result' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"42","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/PatientListServlet.java","5","54","Found 'DU'-anomaly for variable 'commaFlag' (lines '54'-'64').","Controversial Rules","DataflowAnomalyAnalysis"
"43","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/PatientListServlet.java","3","56","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"44","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/PatientListServlet.java","5","57","Found 'DU'-anomaly for variable 'commaFlag' (lines '57'-'64').","Controversial Rules","DataflowAnomalyAnalysis"
"45","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/PatientListServlet.java","3","59","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"46","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/PatientListServlet.java","2","61","System.out.print is used","Java Logging Rules","SystemPrintln"
"47","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/PatientListServlet.java","3","66","Parameter 'req' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"48","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/PatientListServlet.java","3","66","Parameter 'res' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"49","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/PatientListServlet.java","3","69","Avoid unused local variables such as 'mongoDAO'.","Unused Code Rules","UnusedLocalVariable"
"50","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/PatientListServlet.java","5","69","Found 'DU'-anomaly for variable 'mongoDAO' (lines '69'-'81').","Controversial Rules","DataflowAnomalyAnalysis"
"51","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/PatientListServlet.java","3","77","Avoid unused local variables such as 'gson'.","Unused Code Rules","UnusedLocalVariable"
"52","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/PatientListServlet.java","5","77","Found 'DU'-anomaly for variable 'gson' (lines '77'-'81').","Controversial Rules","DataflowAnomalyAnalysis"
"53","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/PatientListServlet.java","3","90","Consider simply returning the value vs storing it in local variable 'colNameForPatient'","Design Rules","UnnecessaryLocalBeforeReturn"
"54","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/TrialVisitServlet.java","3","23","Parameter 'req' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"55","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/TrialVisitServlet.java","3","23","Parameter 'res' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"56","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/TrialVisitServlet.java","3","26","Local variable 'out' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"57","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/TrialVisitServlet.java","3","27","Local variable 'session' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"58","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/TrialVisitServlet.java","3","29","Local variable 'mongoDAO' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"59","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/TrialVisitServlet.java","3","32","Local variable 'repository' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"60","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/TrialVisitServlet.java","3","34","Avoid unused local variables such as 'trialId'.","Unused Code Rules","UnusedLocalVariable"
"61","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/TrialVisitServlet.java","5","34","Found 'DU'-anomaly for variable 'trialId' (lines '34'-'48').","Controversial Rules","DataflowAnomalyAnalysis"
"62","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/TrialVisitServlet.java","3","34","Local variable 'trialId' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"63","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/TrialVisitServlet.java","3","35","Avoid unused local variables such as 'siteId'.","Unused Code Rules","UnusedLocalVariable"
"64","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/TrialVisitServlet.java","5","35","Found 'DU'-anomaly for variable 'siteId' (lines '35'-'48').","Controversial Rules","DataflowAnomalyAnalysis"
"65","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/TrialVisitServlet.java","2","44","System.out.print is used","Java Logging Rules","SystemPrintln"
"66","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/TrialVisitServlet.java","3","50","Parameter 'result' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"67","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/TrialVisitServlet.java","5","52","Found 'DU'-anomaly for variable 'commaFlag' (lines '52'-'62').","Controversial Rules","DataflowAnomalyAnalysis"
"68","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/TrialVisitServlet.java","3","54","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"69","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/TrialVisitServlet.java","5","55","Found 'DU'-anomaly for variable 'commaFlag' (lines '55'-'62').","Controversial Rules","DataflowAnomalyAnalysis"
"70","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/TrialVisitServlet.java","3","57","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"71","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/TrialVisitServlet.java","2","59","System.out.print is used","Java Logging Rules","SystemPrintln"
"72","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/TrialVisitServlet.java","3","64","Parameter 'req' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"73","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/TrialVisitServlet.java","3","64","Parameter 'res' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"74","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/TrialVisitServlet.java","3","67","Avoid unused local variables such as 'mongoDAO'.","Unused Code Rules","UnusedLocalVariable"
"75","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/TrialVisitServlet.java","5","67","Found 'DU'-anomaly for variable 'mongoDAO' (lines '67'-'79').","Controversial Rules","DataflowAnomalyAnalysis"
"76","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/TrialVisitServlet.java","3","75","Avoid unused local variables such as 'gson'.","Unused Code Rules","UnusedLocalVariable"
"77","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/TrialVisitServlet.java","5","75","Found 'DU'-anomaly for variable 'gson' (lines '75'-'79').","Controversial Rules","DataflowAnomalyAnalysis"
"78","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/TrialVisitServlet.java","3","86","Avoid excessively long variable names like collectionNameForTrialVisit","Naming Rules","LongVariable"
"79","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/TrialVisitServlet.java","3","87","Consider simply returning the value vs storing it in local variable 'collectionNameForTrialVisit'","Design Rules","UnnecessaryLocalBeforeReturn"
"80","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/VisitInfoServlet.java","3","23","Parameter 'req' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"81","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/VisitInfoServlet.java","3","23","Parameter 'res' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"82","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/VisitInfoServlet.java","3","24","Document empty method","Design Rules","UncommentedEmptyMethod"
"83","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/VisitInfoServlet.java","3","28","Parameter 'result' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"84","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/VisitInfoServlet.java","5","30","Found 'DU'-anomaly for variable 'commaFlag' (lines '30'-'40').","Controversial Rules","DataflowAnomalyAnalysis"
"85","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/VisitInfoServlet.java","3","32","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"86","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/VisitInfoServlet.java","5","33","Found 'DU'-anomaly for variable 'commaFlag' (lines '33'-'40').","Controversial Rules","DataflowAnomalyAnalysis"
"87","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/VisitInfoServlet.java","3","35","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"88","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/VisitInfoServlet.java","2","37","System.out.print is used","Java Logging Rules","SystemPrintln"
"89","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/VisitInfoServlet.java","3","42","Parameter 'req' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"90","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/VisitInfoServlet.java","3","42","Parameter 'res' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"91","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/VisitInfoServlet.java","3","46","Avoid unused local variables such as 'out'.","Unused Code Rules","UnusedLocalVariable"
"92","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/VisitInfoServlet.java","5","46","Found 'DU'-anomaly for variable 'out' (lines '46'-'60').","Controversial Rules","DataflowAnomalyAnalysis"
"93","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/VisitInfoServlet.java","3","46","Local variable 'out' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"94","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/VisitInfoServlet.java","5","47","Found 'DU'-anomaly for variable 'session' (lines '47'-'60').","Controversial Rules","DataflowAnomalyAnalysis"
"95","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/VisitInfoServlet.java","3","47","Local variable 'session' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"96","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/VisitInfoServlet.java","3","49","Local variable 'operation' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"97","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/VisitInfoServlet.java","3","51","Position literals first in String comparisons","Design Rules","PositionLiteralsFirstInComparisons"
"98","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/VisitInfoServlet.java","3","51","Position literals first in String comparisons","Design Rules","PositionLiteralsFirstInComparisons"
"99","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/VisitInfoServlet.java","3","53","Position literals first in String comparisons","Design Rules","PositionLiteralsFirstInComparisons"
"100","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/VisitInfoServlet.java","3","64","Local variable 'mongoDAO' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"101","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/VisitInfoServlet.java","3","65","Local variable 'visitId' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"102","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/VisitInfoServlet.java","3","65","The String literal 'visitId' appears 4 times in this file; the first occurrence is on line 65","String and StringBuffer Rules","AvoidDuplicateLiterals"
"103","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/VisitInfoServlet.java","3","88","Avoid unused local variables such as 'trialId'.","Unused Code Rules","UnusedLocalVariable"
"104","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/VisitInfoServlet.java","5","88","Found 'DU'-anomaly for variable 'trialId' (lines '88'-'110').","Controversial Rules","DataflowAnomalyAnalysis"
"105","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/VisitInfoServlet.java","3","89","Avoid unused local variables such as 'siteId'.","Unused Code Rules","UnusedLocalVariable"
"106","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/VisitInfoServlet.java","5","89","Found 'DU'-anomaly for variable 'siteId' (lines '89'-'110').","Controversial Rules","DataflowAnomalyAnalysis"
"107","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/VisitInfoServlet.java","5","94","Found 'DU'-anomaly for variable 'jsonData' (lines '94'-'110').","Controversial Rules","DataflowAnomalyAnalysis"
"108","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/VisitInfoServlet.java","3","117","Avoid excessively long variable names like collectionNameForTrialVisit","Naming Rules","LongVariable"
"109","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/VisitInfoServlet.java","3","118","Consider simply returning the value vs storing it in local variable 'collectionNameForTrialVisit'","Design Rules","UnnecessaryLocalBeforeReturn"
"110","com.rl.common","src/main/java/com/rl/common/ServiceContext.java","3","6","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"111","com.rl.common","src/main/java/com/rl/common/ServiceContext.java","3","7","Avoid excessively long variable names like applicationContext","Naming Rules","LongVariable"
"112","com.rl.common","src/main/java/com/rl/common/ServiceContext.java","3","14","Parameter 'beanName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"113","com.rl.domain","src/main/java/com/rl/domain/FamilyHistoryOfCancer.java","3","3","Each class should declare at least one constructor","Controversial Rules","AtLeastOneConstructor"
"114","com.rl.domain","src/main/java/com/rl/domain/PatientVisitDetails.java","3","6","Each class should declare at least one constructor","Controversial Rules","AtLeastOneConstructor"
"115","com.rl.domain","src/main/java/com/rl/domain/PatientVisitDetails.java","3","9","Avoid excessively long variable names like personalInformation","Naming Rules","LongVariable"
"116","com.rl.domain","src/main/java/com/rl/domain/PatientVisitDetails.java","3","11","Avoid excessively long variable names like familyHistoryOfCancerList","Naming Rules","LongVariable"
"117","com.rl.domain","src/main/java/com/rl/domain/PersonalInformation.java","3","3","Each class should declare at least one constructor","Controversial Rules","AtLeastOneConstructor"
"118","com.rl.mongodb","src/main/java/com/rl/mongodb/IMongoDAO.java","3","13","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"119","com.rl.mongodb","src/main/java/com/rl/mongodb/IMongoDAO.java","3","14","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"120","com.rl.mongodb","src/main/java/com/rl/mongodb/IMongoDAO.java","3","15","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"121","com.rl.mongodb","src/main/java/com/rl/mongodb/IMongoDAO.java","3","16","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"122","com.rl.mongodb","src/main/java/com/rl/mongodb/IMongoDAO.java","3","16","Avoid using implementation types like 'HashMap'; use the interface instead","Type Resolution Rules","LooseCoupling"
"123","com.rl.mongodb","src/main/java/com/rl/mongodb/IMongoDAO.java","3","16","Avoid using implementation types like 'HashMap'; use the interface instead","Type Resolution Rules","LooseCoupling"
"124","com.rl.mongodb","src/main/java/com/rl/mongodb/IMongoDAO.java","3","17","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"125","com.rl.mongodb","src/main/java/com/rl/mongodb/IMongoDAO.java","3","17","Avoid variables with short names like id","Naming Rules","ShortVariable"
"126","com.rl.mongodb","src/main/java/com/rl/mongodb/IMongoDAO.java","3","18","Avoid variables with short names like id","Naming Rules","ShortVariable"
"127","com.rl.mongodb","src/main/java/com/rl/mongodb/IMongoDAO.java","3","20","Avoid variables with short names like id","Naming Rules","ShortVariable"
"128","com.rl.mongodb","src/main/java/com/rl/mongodb/IMongoDAO.java","3","21","Avoid variables with short names like id","Naming Rules","ShortVariable"
"129","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","5","33","Found 'DD'-anomaly for variable 'mongo' (lines '33'-'35').","Controversial Rules","DataflowAnomalyAnalysis"
"130","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","2","38","System.out.print is used","Java Logging Rules","SystemPrintln"
"131","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","3","39","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"132","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","3","49","Parameter 'dbName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"133","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","3","49","Parameter 'mongoConnection' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"134","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","3","50","Avoid variables with short names like db","Naming Rules","ShortVariable"
"135","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","5","50","Found 'DD'-anomaly for variable 'db' (lines '50'-'52').","Controversial Rules","DataflowAnomalyAnalysis"
"136","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","2","54","System.out.print is used","Java Logging Rules","SystemPrintln"
"137","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","3","55","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"138","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","3","65","Parameter 'collectionName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"139","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","3","65","Parameter 'mongoDB' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"140","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","5","66","Found 'DD'-anomaly for variable 'collection' (lines '66'-'70').","Controversial Rules","DataflowAnomalyAnalysis"
"141","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","2","72","System.out.print is used","Java Logging Rules","SystemPrintln"
"142","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","3","73","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"143","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","3","82","Avoid using implementation types like 'HashMap'; use the interface instead","Type Resolution Rules","LooseCoupling"
"144","com.rl.mongodb","src/main/java/com/rl/mongodb/MongoDAO.java","3","82","Avoid using implementation types like 'HashMap'; use the interface instead","Type Resolution Rules","LooseCoupling"
